"","avgHandBatterCareer","avgPlaceBatterCareer","avgHandPitcherCareer","avgPlacePitcherCareer","sampleHandBatterCareer","samplePlaceBatterCareer","sampleHandPitcherCareer","samplePlacePitcherCareer","avgHandBatter2015","avgPlaceBatter2015","avgHandPitcher2015","avgPlacePitcher2015","sampleHandBatter2015","samplePlaceBatter2015","sampleHandPitcher2015","samplePlacePitcher2015","avgHandBatter2014","avgPlaceBatter2014","avgHandPitcher2014","avgPlacePitcher2014","sampleHandBatter2014","samplePlaceBatter2014","sampleHandPitcher2014","samplePlacePitcher2014","hit","atBats","pitcherAvgInMonth","batterAvgInMonth","parkFactor","Date"
"18",0.17948718,0.1862069,0.234375,0.232521602513747,117,145,1728,1273,0.16666667,0.22222222,0.228310502283105,0.212121212121212,6,9,219,165,0.15384615,0.16923077,0.240618101545254,0.211656441717791,65,65,453,326,"1",4,0.199453551912568,0.17948718,"0.96","2016-09-26"
"19",0.19266715,0.20527578,0.274725274725275,0.203007518796992,2782,2085,182,133,0.17351598,0.16666667,0.333333333333333,0.210526315789474,438,318,84,19,0.17303371,0.20520231,0.333333333333333,0.205882352941176,445,346,24,34,"1",4,0.191919191919192,0.21555252,"0.984","2016-09-26"
"20",0.2464948,0.23698069,0.274725274725275,0.203007518796992,2211,1709,182,133,0.29064039,0.23170732,0.333333333333333,0.210526315789474,406,328,84,19,0.22727273,0.22807018,0.333333333333333,0.205882352941176,374,285,24,34,"1",5,0.191919191919192,0.22012579,"0.984","2016-09-26"
"21",0.26809651,0.24954463,0.274725274725275,0.203007518796992,746,549,182,133,0.27208481,0.27699531,0.333333333333333,0.210526315789474,283,213,84,19,0.27208481,0.27699531,0.333333333333333,0.205882352941176,283,213,24,34,"0",2,0.191919191919192,0.24096386,"0.984","2016-09-26"
"22",0.20834558,0.21502698,0.220994475138122,0.203007518796992,3403,2409,181,133,0.16896552,0.1790393,0.245098039215686,0.210526315789474,290,229,102,19,0.19444444,0.18623482,0.181818181818182,0.205882352941176,360,247,22,34,"0",2,0.191919191919192,0.2238806,"0.984","2016-09-26"
"23",0.24799082,0.23248408,0.274725274725275,0.203007518796992,871,628,182,133,0.2016129,0.2,0.333333333333333,0.210526315789474,248,190,84,19,0.21910112,0.22834646,0.333333333333333,0.205882352941176,178,127,24,34,"0",5,0.191919191919192,0.26726727,"0.984","2016-09-26"
"24",0.247543,0.23616601,0.274725274725275,0.203007518796992,1628,1012,182,133,0.22895623,0.22702703,0.333333333333333,0.210526315789474,297,185,84,19,0.24757282,0.26771654,0.333333333333333,0.205882352941176,412,254,24,34,"0",5,0.191919191919192,0.22080679,"0.984","2016-09-26"
"25",0.23902651,0.23672501,0.274725274725275,0.203007518796992,4602,3371,182,133,0.14583333,0.16923077,0.333333333333333,0.210526315789474,96,65,84,19,0.21505376,0.19011407,0.333333333333333,0.205882352941176,372,263,24,34,"1",4,0.191919191919192,0.25167785,"0.984","2016-09-26"
"26",0.26769231,0.23589744,0.274725274725275,0.203007518796992,325,195,182,133,0.26769231,0.23589744,0.333333333333333,0.210526315789474,325,195,84,19,0.26769231,0.23589744,0.333333333333333,0.205882352941176,325,195,24,34,"0",1,0.191919191919192,0.2195122,"0.984","2016-09-26"
"27",0.17777778,0.20634921,0.220994475138122,0.203007518796992,360,252,181,133,0.18012422,0.17117117,0.245098039215686,0.210526315789474,161,111,102,19,0.27941176,0.27777778,0.181818181818182,0.205882352941176,68,54,22,34,"1",4,0.191919191919192,0.22727273,"0.984","2016-09-26"
"28",0.23808594,0.26429405,0.20926143024619,0.227220956719818,5120,3428,1706,1756,0.27153558,0.27647059,0.186440677966102,0.220720720720721,534,340,413,444,0.25641026,0.24576271,0.211363636363636,0.226293103448276,546,354,440,464,"1",5,0.234421364985163,0.24214104,"0.984","2016-09-26"
"29",0.23752311,0.24435591,0.20926143024619,0.227220956719818,2164,1506,1706,1756,0.25598086,0.25650558,0.186440677966102,0.220720720720721,418,269,413,444,0.2259887,0.23648649,0.211363636363636,0.226293103448276,177,148,440,464,"0",5,0.234421364985163,0.23444284,"0.984","2016-09-26"
"30",0.28611192,0.28484024,0.20926143024619,0.227220956719818,6826,4413,1706,1756,0.29411765,0.29739777,0.186440677966102,0.220720720720721,408,269,413,444,0.2848723,0.28143713,0.211363636363636,0.226293103448276,509,334,440,464,"1",4,0.234421364985163,0.27069073,"0.984","2016-09-26"
"31",0.2668399,0.26573626,0.233070866141732,0.227220956719818,5003,3511,1905,1756,0.19896641,0.21632653,0.236786469344609,0.220720720720721,387,245,473,444,0.27950311,0.29139073,0.223091976516634,0.226293103448276,483,302,511,464,"1",4,0.234421364985163,0.27973568,"0.984","2016-09-26"
"32",0.25780051,0.26303502,0.20926143024619,0.227220956719818,1955,1285,1706,1756,0.26396917,0.25609756,0.186440677966102,0.220720720720721,519,328,413,444,0.29461756,0.27876106,0.211363636363636,0.226293103448276,353,226,440,464,"1",4,0.234421364985163,0.24708171,"0.984","2016-09-26"
"33",0.2394502,0.25396825,0.20926143024619,0.227220956719818,4147,2709,1706,1756,0.23046092,0.24271845,0.186440677966102,0.220720720720721,499,309,413,444,0.23705179,0.25157233,0.211363636363636,0.226293103448276,502,318,440,464,"0",3,0.234421364985163,0.22727273,"0.984","2016-09-26"
"34",0.251267,0.24438313,0.233070866141732,0.227220956719818,3749,2537,1905,1756,0.24782609,0.23701299,0.236786469344609,0.220720720720721,460,308,473,444,0.26326964,0.23642173,0.223091976516634,0.226293103448276,471,313,511,464,"1",3,0.234421364985163,0.25647059,"0.984","2016-09-26"
"35",0.2155477,0.2361809,0.20926143024619,0.227220956719818,566,398,1706,1756,0.234375,0.26415094,0.186440677966102,0.220720720720721,320,212,413,444,0.33333333,0.2,0.211363636363636,0.226293103448276,6,5,440,464,"1",4,0.234421364985163,0.24444444,"0.984","2016-09-26"
"36",0.24750499,0.25295858,0.20926143024619,0.227220956719818,1002,676,1706,1756,0.26392962,0.2735426,0.186440677966102,0.220720720720721,341,223,413,444,NA,NA,0.211363636363636,0.226293103448276,NA,NA,440,464,"0",3,0.234421364985163,0.2139738,"0.984","2016-09-26"
"37",0.24555904,0.25450613,0.236989591673339,0.233846153846154,1914,1387,1249,1300,0.2455516,0.30541872,0.214814814814815,0.240740740740741,281,203,405,432,0.23227384,0.2245614,0.201086956521739,0.18413597733711,409,285,368,353,"1",4,0.233695652173913,0.29061785,"0.926","2016-09-26"
"38",0.23755154,0.21934461,0.236989591673339,0.233846153846154,3153,1892,1249,1300,0.22055138,0.21145374,0.214814814814815,0.240740740740741,399,227,405,432,0.23296703,0.21721311,0.201086956521739,0.18413597733711,455,244,368,353,"0",3,0.233695652173913,0.21198157,"0.926","2016-09-26"
"39",0.29142414,0.28574963,0.236989591673339,0.233846153846154,5154,4042,1249,1300,0.2718894,0.25872093,0.214814814814815,0.240740740740741,434,344,405,432,0.29126214,0.28693182,0.201086956521739,0.18413597733711,412,352,368,353,"1",4,0.233695652173913,0.2960112,"0.926","2016-09-26"
"40",0.24254526,0.23953935,0.244995996797438,0.233846153846154,3756,2605,1249,1300,0.25431034,0.27164179,0.26431718061674,0.240740740740741,464,335,454,432,0.23837209,0.26224784,0.171314741035857,0.18413597733711,516,347,251,353,"1",6,0.233695652173913,0.26449644,"0.926","2016-09-26"
"41",0.24449244,0.25479452,0.236989591673339,0.233846153846154,2315,1825,1249,1300,0.22022472,0.27089337,0.214814814814815,0.240740740740741,445,347,405,432,0.25179856,0.21865889,0.201086956521739,0.18413597733711,417,343,368,353,"1",5,0.233695652173913,0.21745351,"0.926","2016-09-26"
"42",0.26021798,0.23286505,0.236989591673339,0.233846153846154,3670,2349,1249,1300,0.25217391,0.1942446,0.214814814814815,0.240740740740741,460,278,405,432,0.32384342,0.29457364,0.201086956521739,0.18413597733711,281,129,368,353,"1",4,0.233695652173913,0.26388889,"0.926","2016-09-26"
"43",0.23135889,0.22362052,0.236989591673339,0.233846153846154,1435,1033,1249,1300,0.1969697,0.22155689,0.214814814814815,0.240740740740741,198,167,405,432,0.25747126,0.22972973,0.201086956521739,0.18413597733711,435,296,368,353,"1",5,0.233695652173913,0.24179104,"0.926","2016-09-26"
"44",0.16461366,0.17147436,0.244995996797438,0.233846153846154,893,624,1249,1300,0.14652015,0.16915423,0.26431718061674,0.240740740740741,273,201,454,432,0.16023739,0.18987342,0.171314741035857,0.18413597733711,337,237,251,353,"0",5,0.233695652173913,0.16738197,"0.926","2016-09-26"
"45",0.26280624,0.24040921,0.236989591673339,0.233846153846154,449,391,1249,1300,0.26865672,0.2406015,0.214814814814815,0.240740740740741,134,133,405,432,0.26865672,0.2406015,0.201086956521739,0.18413597733711,134,133,368,353,"1",4,0.233695652173913,0.24324324,"0.926","2016-09-26"
"46",0.22416974,0.20184697,0.222026947861746,0.23397823458283,1084,758,1707,1654,0.23024055,0.18636364,0.203846153846154,0.205128205128205,291,220,260,234,0.21686747,0.1744186,0.201201201201201,0.25,249,172,333,320,"1",5,0.247826086956522,0.25482625,"0.926","2016-09-26"
"47",0.23952096,0.23152709,0.240943070730305,0.23397823458283,1169,812,1739,1654,0.25345622,0.23668639,0.25,0.205128205128205,217,169,256,234,0.24535316,0.25641026,0.265957446808511,0.25,269,156,376,320,"1",5,0.247826086956522,0.26,"0.926","2016-09-26"
