,c.avgHandBatter.,c.avgPlaceBatter.,c.avgHandPitcher.,c.avgPlacePitcher.,c.sampleHandBatter.,c.samplePlaceBatter.,c.sampleHandPitcher.,c.samplePlacePitcher.,c.avgHandBatter..1,c.avgPlaceBatter..1,c.avgHandPitcher..1,c.avgPlacePitcher..1,c.sampleHandBatter..1,c.samplePlaceBatter..1,c.sampleHandPitcher..1,c.samplePlacePitcher..1,c.avgHandBatter..2,c.avgPlaceBatter..2,c.avgHandPitcher..2,c.avgPlacePitcher..2,c.sampleHandBatter..2,c.samplePlaceBatter..2,c.sampleHandPitcher..2,c.samplePlacePitcher..2,hit,atBats,pitcherInMonth.pitcherInMonth.c.pitcherInMonth.,pitcherInMonth.batterInMonth.c.batterInMonth.,parkFactor,dateColumn
18,0.2073544433,0.2388724036,0.2275862069,0.2202797203,979,674,290,286,0.1918604651,0.2869565217,0.2158273381,0.2040816327,172,115,139,147,0.1636363636,0.1878172589,0.2158273381,0.2040816327,275,197,139,147,TRUE,4,0.2151162791,0.2186234818,0.868,2016-08-09
19,0.2249134948,0.2625,0.2275862069,0.2202797203,578,400,290,286,0.2085889571,0.2945736434,0.2158273381,0.2040816327,163,129,139,147,0.2085889571,0.2945736434,0.2158273381,0.2040816327,163,129,139,147,FALSE,3,0.2151162791,0.2215909091,0.868,2016-08-09
20,0,0.2406417112,0.2275862069,0.2202797203,1,748,290,286,0.2440944882,0.2438162544,0.2158273381,0.2040816327,381,283,139,147,0.25,0.2591093117,0.2158273381,0.2040816327,312,247,139,147,FALSE,3,0.2151162791,0.2229102167,0.868,2016-08-09
21,0.2456301748,0.2406417112,0.2275862069,0.2202797203,1087,748,290,286,0.2440944882,0.2438162544,0.2158273381,0.2040816327,381,283,139,147,0.25,0.2591093117,0.2158273381,0.2040816327,312,247,139,147,FALSE,3,0.2151162791,0.2229102167,0.868,2016-08-09
22,0.2201086957,0.2489959839,0.2275862069,0.2202797203,368,249,290,286,0.2065217391,0.1896551724,0.2158273381,0.2040816327,92,58,139,147,0.1086956522,0.1034482759,0.2158273381,0.2040816327,46,29,139,147,TRUE,3,0.2151162791,0.2666666667,0.868,2016-08-09
23,0.3058823529,0.3157894737,0.2275862069,0.2202797203,85,38,290,286,0.3058823529,0.3157894737,0.2158273381,0.2040816327,85,38,139,147,0.3058823529,0.3157894737,0.2158273381,0.2040816327,85,38,139,147,TRUE,3,0.2151162791,0.2972972973,0.868,2016-08-09
24,0.255952381,0.2352941176,0.221644757,0.2142635659,336,204,3271,3225,0.255952381,0.2352941176,0.2342995169,0.2119700748,336,204,414,401,0.255952381,0.2352941176,0.2069716776,0.1941309255,336,204,459,443,TRUE,4,0.2492639843,0.2660550459,0.868,2016-08-09
25,0.263454177,0.2632587859,0.2239101717,0.2142635659,4441,3130,3028,3225,0.2609561753,0.2550143266,0.2133027523,0.2119700748,502,349,436,401,0.2835164835,0.2732919255,0.2028571429,0.1941309255,455,322,350,443,TRUE,4,0.2492639843,0.2402402402,0.868,2016-08-09
26,0,0.260519248,0.2239101717,0.2142635659,1,1117,3028,3225,0.2579365079,0.2823529412,0.2133027523,0.2119700748,504,340,436,401,0.2731958763,0.264957265,0.2028571429,0.1941309255,388,234,350,443,TRUE,5,0.2492639843,0.2641975309,0.868,2016-08-09
27,0.2508813161,0.260519248,0.2239101717,0.2142635659,1702,1117,3028,3225,0.2579365079,0.2823529412,0.2133027523,0.2119700748,504,340,436,401,0.2731958763,0.264957265,0.2028571429,0.1941309255,388,234,350,443,TRUE,5,0.2492639843,0.2641975309,0.868,2016-08-09
