"TeamPark","Hits"
"COL",1.276
"CHW",1.081
"BOS",1.173
"TEX",1.117
"BAL",1.099
"ARI",1.064
"MIL",0.997
"CIN",1.017
"DET",1.031
"MIN",1.03
"ATL",1.011
"KCR",1.037
"CHC",0.981
"WSN",1.063
"TOR",0.992
"FLA",0.995
"NYY",0.927
"STL",1.047
"PHI",0.952
"HOU",0.968
"CLE",0.985
"OAK",0.927
"NYM",0.918
"TBR",0.914
"LAD",0.972
"SDP",0.96
"LAA",0.906
"PIT",0.871
"SFG",0.901
"SEA",0.831
