"TeamPark","Hits"
"COL",1.301
"CLE",1.169
"BAL",1.121
"BOS",1.103
"TEX",1.107
"CIN",1.075
"MIL",1.01
"ARI",1.047
"PHI",0.977
"NYY",0.975
"KCR",0.995
"WSN",0.992
"MIN",1.039
"CHC",0.934
"FLA",0.99
"OAK",0.964
"TBR",0.939
"ATL",0.915
"PIT",0.962
"SDP",0.966
"STL",1.055
"HOU",0.954
"LAD",0.948
"TOR",0.926
"CHW",0.953
"DET",0.966
"SEA",0.917
"NYM",0.912
"LAA",0.939
"SFG",0.917
