"TeamPark","Hits"
"COL",1.163
"CHC",1.104
"DET",1.045
"TOR",1.026
"MIL",1.081
"PHI",0.987
"NYY",1.046
"KCR",1.036
"HOU",1.013
"BAL",0.988
"FLA",1.007
"MIN",1.027
"WSN",1.089
"CHW",0.947
"SEA",1.008
"CIN",0.99
"TEX",0.991
"ARI",0.944
"LAA",1.014
"BOS",0.996
"ATL",0.987
"CLE",0.976
"TBR",0.958
"PIT",0.989
"STL",0.931
"OAK",0.977
"SFG",0.962
"LAD",0.958
"NYM",0.894
"SDP",0.901
