"TeamPark","Hits"
"COL",1.231
"ARI",1.139
"CLE",1.115
"BOS",1.161
"KCR",1.092
"TOR",1.083
"TEX",1.1
"ATL",1.009
"MIN",1.064
"NYY",0.982
"DET",0.984
"SDP",1.042
"SFG",1.084
"PIT",1.013
"CIN",0.97
"NYM",0.887
"MIL",0.961
"WSN",0.974
"BAL",0.967
"SEA",0.953
"CHW",0.96
"STL",0.972
"LAA",0.936
"TBR",0.901
"CHC",0.928
"PHI",0.924
"FLA",0.868
"OAK",0.921
"LAD",0.908
"HOU",0.926
