"TeamPark","Hits"
"COL",1.315
"ARI",1.045
"MIN",1.08
"STL",1.006
"BOS",1.073
"WSN",1.075
"TEX",0.981
"CHW",1.006
"TOR",1.031
"OAK",1.022
"KCR",1.008
"FLA",0.988
"HOU",1.006
"DET",0.979
"TBR",0.974
"MIL",0.969
"PIT",1.042
"CIN",0.962
"CLE",0.982
"NYY",1.005
"ATL",0.97
"BAL",0.981
"CHC",0.975
"PHI",0.974
"SFG",0.951
"LAA",0.982
"LAD",0.91
"NYM",0.918
"SDP",0.916
"SEA",0.89
