"","avgHandBatter","avgPlaceBatter","avgHandPitcher","avgPlacePitcher","hit","sampleHandBatter","samplePlaceBatter","sampleHandPitcher","samplePlacePitcher","Date"
"1",0.231548198636806,0.229352678571429,0.223910171730515,0.214263565891473,"TRUE",5135,3584,3028,3028,"2016-04-03"
"2",0.25,0.260355029585799,0.22164475695506,0.214263565891473,"FALSE",5116,3549,3271,3028,"2016-04-03"
"3",0.255079006772009,0.251798561151079,0.22164475695506,0.214263565891473,"TRUE",2215,1529,3271,3028,"2016-04-03"
"4",0.215228426395939,0.211119459053343,0.223910171730515,0.214263565891473,"TRUE",1970,1331,3028,3028,"2016-04-03"
"5",0.245358090185676,0.238951695786228,0.223910171730515,0.214263565891473,"FALSE",3016,1946,3028,3028,"2016-04-03"
"6",0.223628691983122,0.206896551724138,0.223910171730515,0.214263565891473,"TRUE",474,290,3028,3028,"2016-04-03"
"7",0.234413286142118,0.24188679245283,0.223910171730515,0.214263565891473,"TRUE",3673,2650,3028,3028,"2016-04-03"
"8",0.226118500604595,0.224820143884892,0.22164475695506,0.214263565891473,"FALSE",827,556,3271,3028,"2016-04-03"
"9",0.233555767397521,0.259810554803789,0.22164475695506,0.214263565891473,"TRUE",1049,739,3271,3028,"2016-04-03"
"10",0.243137254901961,0.247588424437299,0.218199608610568,0.219463753723932,"TRUE",3315,2177,1022,1070,"2016-04-03"
"11",0.229633401221996,0.227521501172791,0.206542056074766,0.219463753723932,"FALSE",1964,1279,1070,1070,"2016-04-03"
"12",0.256804733727811,0.275741710296684,0.218199608610568,0.219463753723932,"TRUE",1690,1146,1022,1070,"2016-04-03"
"13",0.257545271629779,0.251950947603122,0.206542056074766,0.219463753723932,"TRUE",2485,1794,1070,1070,"2016-04-03"
"14",0.245614035087719,0.255550074000987,0.206542056074766,0.219463753723932,"FALSE",2850,2027,1070,1070,"2016-04-03"
"15",0.236662106703146,0.235614307931571,0.206542056074766,0.219463753723932,"TRUE",3655,2572,1070,1070,"2016-04-03"
"16",0.259125964010283,0.258823529411765,0.218199608610568,0.219463753723932,"TRUE",1945,1275,1022,1070,"2016-04-03"
"17",0.251191969887077,0.242500903505602,0.218199608610568,0.219463753723932,"TRUE",3985,2767,1022,1070,"2016-04-03"
"18",0.22972972972973,0.142857142857143,0.206542056074766,0.219463753723932,"FALSE",74,35,1070,1070,"2016-04-03"
"19",0.245014245014245,0.240331491712707,0.206873315363881,0.202141057934509,"TRUE",1053,724,1484,1703,"2016-04-03"
"20",0.238961038961039,0.23551637279597,0.206873315363881,0.202141057934509,"TRUE",2310,1588,1484,1703,"2016-04-03"
"21",0.210492505353319,0.20911104080987,0.206873315363881,0.202141057934509,"FALSE",4670,3161,1484,1703,"2016-04-03"
